dose_recommandee,area,type_pesticide,type_culture,quantite
2.40722002564141,351,Herbicide,Corn,60.105539369400184
4.0467035048546505,155,Herbicide,Barley,85.67634966302668
3.028329696241067,339,Fungicide,Rice,70.9152667799525
3.551607498211846,150,Herbicide,Barley,89.21443225560738
4.940698220362699,146,Herbicide,Wheat,89.8545989478303
4.072021741252838,202,Fungicide,Barley,46.7347600809746
2.737445992564871,475,Herbicide,Corn,22.36907203766318
2.785767687186195,78,Insecticide,Rice,66.72552902399693
3.47508830816402,202,Insecticide,Corn,88.63714885676593
3.6614608336756174,487,Herbicide,Soybean,16.745800977528468
3.0028437033466853,428,Herbicide,Barley,60.21309457761978
3.5794448912599197,122,Insecticide,Barley,20.349957399384152
1.094129977656395,303,Herbicide,Barley,12.429639257968176
2.7184914555873765,448,Insecticide,Wheat,71.16718185467502
2.115752304293907,53,Fungicide,Corn,71.36646506849475
1.5166977809724416,286,Insecticide,Soybean,64.05922404967258
1.3981860512351005,87,Herbicide,Wheat,87.33005235116174
3.41276866245867,69,Herbicide,Wheat,17.27887958141305
3.094402188610447,162,Insecticide,Rice,19.47342355288834
2.0143364679854767,72,Insecticide,Soybean,87.80818941815025
2.883800235090058,470,Herbicide,Barley,55.29490478976368
2.968929260729633,495,Herbicide,Barley,34.574752795441356
1.7800359217544632,416,Herbicide,Rice,76.43412801867586
3.6083722475266025,185,Fungicide,Barley,90.49633503439618
4.123677425544361,470,Fungicide,Corn,72.0642957582666
4.165854163558076,297,Insecticide,Barley,81.27393370106041
3.4098793228138202,350,Insecticide,Corn,35.424751617567324
3.0465543300760562,146,Fungicide,Rice,35.98978234694882
1.2440285720215796,82,Fungicide,Rice,87.77114923191691
2.1513251954064234,184,Insecticide,Corn,65.33765637896937
1.3730857871126796,304,Fungicide,Barley,31.07464765063628
4.855292643513895,327,Insecticide,Rice,57.174563391599094
1.5403205849030428,182,Herbicide,Rice,71.72744243250244
1.6071016394044082,287,Insecticide,Corn,29.669417312570918
4.558306473321968,64,Fungicide,Rice,68.94157673869623
4.775713133905832,326,Fungicide,Barley,13.7930364835991
4.063316156939639,175,Fungicide,Rice,37.33224607037451
1.0216196946906795,394,Insecticide,Corn,70.65746305535032
1.0053850838262548,66,Fungicide,Barley,23.441415894091143
2.512403079149803,361,Insecticide,Soybean,29.997912757824903
1.5735814800435701,99,Herbicide,Corn,89.11839613225504
1.0735445686063891,184,Herbicide,Soybean,70.68889894884475
2.8562667576180187,167,Fungicide,Rice,54.90268392310064
4.772247589627886,427,Insecticide,Barley,28.980405291470706
2.2952782996097256,355,Insecticide,Rice,40.72686909240323
3.644562713714786,109,Fungicide,Barley,61.68974484586232
3.608941412529763,174,Insecticide,Wheat,23.97813345142016
2.004320414660671,165,Fungicide,Rice,53.356967190837004
3.6017009952954573,440,Fungicide,Rice,46.80769547242201
1.849335897147565,473,Herbicide,Rice,52.901860728485644
1.4880296543075562,222,Fungicide,Corn,19.500473915226948
3.8055331422387604,236,Insecticide,Barley,19.58473783405257
1.453763268415667,137,Fungicide,Barley,96.76998574716892
4.987636874357421,252,Herbicide,Barley,98.14309603522918
1.7338096046009173,410,Herbicide,Corn,48.35481921206364
3.37656745102583,360,Insecticide,Barley,81.00959082857536
2.6454982856503575,369,Fungicide,Rice,69.02122842307692
1.5055456896226684,498,Insecticide,Soybean,20.522516915655007
1.1113756303096536,231,Insecticide,Wheat,36.7010791601228
3.490929129171333,401,Fungicide,Barley,38.22862677800684
4.227030255156505,217,Herbicide,Corn,63.61969913733015
4.368062646026976,230,Insecticide,Corn,62.1979041083023
2.930853892307738,349,Insecticide,Barley,93.115782433248
4.109821868729542,496,Herbicide,Soybean,81.10326825786466
3.691388533954179,179,Fungicide,Barley,87.11628981426763
3.897018109996533,198,Fungicide,Corn,90.21057522499085
2.9703960208872564,355,Fungicide,Wheat,82.11490052994823
3.5336469609685084,258,Herbicide,Soybean,39.959313495139696
4.222103654304227,160,Insecticide,Barley,29.351167420105003
2.591536702228092,485,Herbicide,Wheat,61.45906042189423
4.223915603470335,186,Insecticide,Barley,72.06114848079869
3.3680673711562514,404,Insecticide,Soybean,44.79111720668492
1.663604097483145,453,Fungicide,Corn,86.35047849680592
1.0987366288983385,260,Fungicide,Soybean,96.4509933536185
2.451014401596608,195,Fungicide,Rice,61.24561535236168
3.1867853131853594,133,Herbicide,Barley,51.09328559945965
4.3592814088139535,79,Fungicide,Wheat,85.85984052482661
1.5099427205609848,114,Herbicide,Wheat,12.184259229044798
4.200825390734316,73,Fungicide,Soybean,21.611135425082324
4.452036184268907,480,Fungicide,Soybean,86.1091893105641
1.6027499480033351,260,Fungicide,Soybean,75.88257270831932
4.406377277216876,271,Herbicide,Wheat,47.452302838389336
4.965814271371168,139,Insecticide,Corn,89.99666719519645
3.90735532419295,155,Herbicide,Wheat,41.63124588808484
4.139078727299951,221,Herbicide,Corn,67.04608220802257
4.977661070235493,279,Herbicide,Soybean,67.09010232933244
3.4219250021037815,462,Insecticide,Rice,26.589870335281258
2.2315455280649976,126,Herbicide,Wheat,35.63665625476522
4.350123336304223,117,Fungicide,Soybean,92.44062304264772
3.457943110046525,414,Insecticide,Wheat,26.507336841407533
3.3247816948838262,450,Herbicide,Soybean,25.621715966286207
2.014542222056153,402,Herbicide,Wheat,53.165392636048665
4.025337078331546,438,Insecticide,Barley,18.29776314140569
1.326669103440385,141,Herbicide,Wheat,90.5163570085936
4.697148283178645,137,Insecticide,Barley,19.013422448122398
2.303293843081939,99,Fungicide,Corn,65.49017291567151
1.5110986111599618,152,Herbicide,Wheat,40.58036708007863
2.769466132409675,417,Herbicide,Corn,82.38455969239304
1.1698796370261326,473,Fungicide,Rice,63.08296711907847
3.738504777059865,95,Herbicide,Barley,44.94755269714943
4.610822041781425,228,Herbicide,Wheat,98.54856860903297
4.349052028554035,316,Insecticide,Corn,15.960788961897759
1.5094778937915243,317,Herbicide,Soybean,62.000767290760905
1.5050845484309274,446,Fungicide,Corn,99.06114803896403
4.253737929297056,369,Herbicide,Wheat,72.18573788917153
4.697017098412464,57,Insecticide,Rice,76.57926684779737
2.8426793193339566,498,Fungicide,Barley,12.888203012153733
2.9958844676550638,314,Fungicide,Soybean,11.922684678726617
2.2730481655429036,435,Fungicide,Corn,13.249910078397354
4.577060473025655,127,Fungicide,Wheat,99.25515119586089
3.5796116211694238,446,Insecticide,Wheat,98.15677846667663
2.153006308669474,289,Insecticide,Barley,40.105803318783565
2.1951314842170064,307,Insecticide,Soybean,36.1883634639246
4.564800292254409,245,Insecticide,Corn,23.136287096605983
1.0545360956232859,481,Herbicide,Corn,39.62262692482825
2.2909062909065536,379,Insecticide,Corn,43.31349374925433
3.217426724865476,180,Herbicide,Barley,77.34545350831303
1.5928698483972985,439,Fungicide,Barley,87.96641976277613
1.3683950167983592,392,Herbicide,Soybean,77.20616077672493
4.26110532436224,310,Herbicide,Corn,68.18275909860152
4.577617554594029,291,Herbicide,Corn,78.93100702799181
4.294425683192758,436,Insecticide,Soybean,76.46477312366248
4.595151558949391,443,Insecticide,Soybean,52.81747243573553
3.212447884233486,220,Fungicide,Soybean,40.2266262215222
4.249032483961368,196,Insecticide,Wheat,35.45026451898396
2.5361705535644017,319,Herbicide,Soybean,71.14199135615036
3.665071445916154,198,Insecticide,Rice,96.33737120007027
4.955342125556658,429,Insecticide,Barley,62.29492470420671
1.9029108953565097,348,Herbicide,Soybean,92.12738522250395
2.5595989851643224,77,Fungicide,Wheat,11.280643387565277
2.9201895092403425,198,Insecticide,Rice,81.50235820624052
1.552061948080207,469,Fungicide,Wheat,86.82423921640716
1.3241544418602271,329,Herbicide,Wheat,66.78944541493263
4.318891465286498,231,Insecticide,Wheat,94.06548994255566
4.907177491310344,215,Fungicide,Wheat,63.09216935931696
2.6189002553186347,66,Fungicide,Corn,31.648321227407436
1.350599344778613,199,Herbicide,Barley,29.414550650337485
1.263247042762306,388,Insecticide,Corn,60.02526400234437
4.565272825441195,94,Fungicide,Rice,91.58355374465899
2.8552569989107197,379,Fungicide,Corn,16.51311511795693
2.2801092662495677,238,Fungicide,Rice,64.395146098982
2.905845084957598,188,Fungicide,Soybean,79.28231256838221
2.2732163787693893,110,Fungicide,Rice,20.38618626612122
2.95614310123048,343,Fungicide,Corn,20.509272164081164
4.438225587671747,371,Fungicide,Corn,42.95151970026293
3.3692054842483827,82,Fungicide,Rice,34.64930561947452
3.7786150912407015,348,Fungicide,Corn,27.848274300432077
2.4586827049373463,464,Fungicide,Rice,27.88247562502107
3.954023514042075,161,Insecticide,Wheat,21.760212918235226
3.6664683395174893,340,Herbicide,Barley,64.97686117737572
1.4782479910082258,86,Herbicide,Rice,71.93130432256783
